kml_input_name,Transliterated names,Name,Standardised transliterated name,standardized_name,author-specific_name,region_name,kura_name,Unclear provincial affiliation,city_type,latitude,longitude,altitude,pushpin,location_certainty,date,descr,id,loc,note,pic,Imperial capital,Provincial Capital,Kura/Sub-Region Capital,Important city,Mint (precious metal),Mint (copper),West Syrian archdiocese,West Syrian diocese,East Syrian archdiocese,East Syrian diocese,Garrison,Qāḍīship,"Marwānid period to Hārūn, first period (c73-180/692-796)",Marwānid period (c.73-132/692-750),Marwān II (127-132/744-750),al-Manṣūr-Hārūn al-Rashīd (ca. 136-193/754-809),"Hārūn, second period (180-193/796-809)",al-Maʾmūn to al-Muʿtaṣim (ca. 198-221/813-836),Sāmarrāʾ period (ca. 221-279/836-892),al-Muʿtaḍid to al-Muqtadir (ca. 279-320/892-932),kura_code,region_code,Comments
Hit / هيت,Hit , هيت,,,,Jazīra,Ṭarīq al-Furāt,,,42.8243086804615,33.6383765604982,0,,,,,"EI2, ""Hit"" (M. Streck)","Town centre; city walls and two gates have survived from early Islamic times, but I could not locate them",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
الأنبار ,al-Anbār,الأنبار ,,,,,(no kura mentioned),x,,43.7171864254345,33.3789826671559,0,ylw-pushpin,confirmed remains from early Islamic times,,,"Ruins of ancient/early Islamic al-Anbar; EI2, ""al-Anbar"" (M. Streck/A. A. Duri); c. 5km nw of al-Falluja",Archaeological site; ANE place marker for Tell Anbar; close to coordinates given by EI2 entry,,,,,,,,,,,,x,,,,x,,x,,x,x,x,0,JAZ,
الدالية ,al-Dālīya,الدالية ,,,,Jazīra,Ṭarīq al-Furāt,,,40.7305894707366,34.7479109440186,0,blu-pushpin,confirmed remains from early Islamic times,,,"Cornu: Musil and Cumont identified al-Daliya as al-Salihiya (Dura Europos). However, Honigmann (EI2, al-Rahba) considers this incorrect and places al-Daliya just south of Rahbat Malik ibn Tawq, which is also the location mentioned by Hartmann (EI2, al-Furat). Apparently, al-Daliya was also called Daliyat Malik ibn Tawq, and it is also said that it was a synonym for al-Furda. Nevertheless, based on the routes described in Qudama, Kitab al-Kharaj, p. 217, the location of al-Daliya (assuming that al-Daliya = al-Furda) must be much further south on the Euphrates than Rahbat Malik, which is why I went with Musil's identification.",ANE place marker for Dura Europos,,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
الرافقة ,al-Rāfiqa,الرافقة ,,,,Jazīra,Diyār Muḍar,,,39.0274305513729,35.9510506524762,0,ylw-pushpin,,,,Modern al-Raqqa,ʿAbbasid city walls,,,,,,,,,,,,,x,,,,,x,,x,x,x,0,JAZ,"Gold once in 191 H, then from 261 H (Diler, vol. I)."
الرقة ,al-Raqqa,الرقة ,,,,Jazīra,Diyār Muḍar,,,39.0433742698797,35.9441391808211,0,ylw-pushpin,,,,Modern al-Raqqa ,"Early Islamic al-Raqqa; plan of al-Raqqa in EI2, ""Rakka"" (M. Meinecke).",,,,,,,x,,,,,,,,,,,x,,x,x,x,0,JAZ,"No ʿAbbāsid coinage after 254 H; first gold issue from 279 H (Ṭūlūnid) (Diler, vol. I)."
الرها ,al-Ruhā,الرها ,,,,Jazīra,Diyār Muḍar,,,38.7818831697218,37.1523282487467,0,ylw-pushpin,,,,Modern Urfa,"Remains of the medieval castle, walls built by the ʿAbbasids (photos).",,,,,,,,x,,,,,,,,x,,x,,,,,0,JAZ,"Diler, vol. I."
السن ,al-Sinn,السن ,,,,Jazīra,Diyār Rabīʿa,,,43.46591,35.26076,0,red-pushpin,no specific clues for an exact location,,,"See e.g. EI2, ""al-Zab"" (Bosworth)",Location approximate; al-Sinn was said to be situatied where the Lesser Zab joins the Tigris. ,,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
الفدين,al-Fudayn,الفدين,,,,Jazīra,Mudun al-Khābūr,,,40.5478334035739,35.3485611546587,0,grn-pushpin,no specific clues for an exact location,,,Cornu: modern Tall Fudayn.,GE place marker,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
الموصل,al-Mawṣil,الموصل,,,,Jazīra,Diyār Rabīʿa,,,43.1282596177328,36.3453028552322,0,grn-pushpin,,,,Modern Mosul,Modern Mosul,,,,,,,,x,,,,,,,,,,,,x,x,,0,JAZ,"Almost only copper in Umayyad period, none after 268 H (Diler, vol. II)."
أذرمة,Adhrama,أذرمة,,,,Jazīra,Diyār Rabīʿa,,,41.8000657249252,36.9586389695945,0,grn-pushpin,,,,"Cornu identifies Adhrama as Tall Rumman. However, while there are several places of that name in Syria and Iraq, I could not find one that would fit the given location even remotely. Ur (The Tell Hamoukar Survey 1999-2001, vol. 1, 2010) tentatively identifies Adhrama as Kharab Bajar, which would fit the location of Adhrama as being on the route from Balad to Nisibin. Place marker set on Ur's rather than Cornu's identification",GPS coordinates for Kharab Bajar from geonames.org (based on USGS),,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
آلوس ,Ālūs,آلوس ,,,,Jazīra,Ṭarīq al-Furāt,,,42.4067947818383,34.0172312226618,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,village of Alus,photos of settlement remains,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
آمد,Āmid,آمد,,,,Jazīra,(no kura mentioned),,,40.2324463727731,37.9072853410414,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,Cornu: modern Diyarbakir (Turkey),old town,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,"Diler, vol. I."
باجروان,Bājarwān,باجروان,,,,Jazīra,Diyār Muḍar,,,38.9755833483617,36.257740594326,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"Cornu identified Bajarwan as Tall Jarwa.However, I could not find any references to a place of this name. According to Heidemann (""Agricultural Hinterland"", 46), K. Bartl identified Bajarwan as Tall Damir on the Balikh river (Bartl, ""Fruhislamische Besiedlung"", 209-210, 256. I follow Bartl.",geonames.org place marker,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
باعيناثا,Bāʿaynāthā,باعيناثا,,,,Jazīra,Diyār Rabīʿa,,,42.3949148511987,36.6812874726616,0,blu-pushpin,tentative identification with (archaeological) site in secondary literature,,,"Cornu: unidentified site: Dussaud identified Baʿaynatha with Tell Uwaynat, but Fiey contested this. In Fiey's article (The Iraqi Section of the Abbasid Road Mosul-Nisibin), he mentions that De Goeje tentatively  identified the town with Abu Wajna(m) (Ninawa, Iraq). Tell Uwaynat and Abu Wajna(m) are relatively close together. I have opted for Dussaud's location of Tell Uwaynat as Baʿaynatha is said to have been a station on the road from Mosul to Nisibin (see EI2, ""Barkaʾid"" (Streck/Longrigg); Fiey, ""Iraqi Section"") - Tell Uwaynat fits this location better than Abu Wajna(m).",modern Tell Uwaynat (ANE place marker),,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
برقعيد,Barqaʿīd,برقعيد,,,,Jazīra,Diyār Rabīʿa,,,41.9716985962445,36.9464738263443,0,blu-pushpin,tentative identification with (archaeological) site in secondary literature,,,"Cornu: modern Biʾr ʿUjla (ʿUqla?) in Iraq, but I could not find a place of that name in the area (Biʾr ʿUqla in Anbar/Iraq is too far away to fit the description of Barqaʿid being on the road from Mosul to Nisibin). Ur (The Tell Hamoukar Survey 1999-2001, 2010) also tentatively identifies Barqaʿid with Biʾr Uqla in Iraq, very close to the modern Syrian border. However, Streck and Longrigg in the EI2 entry on Barqaʿid tentatively identify it as located on the Syrian side of the modern border, at  Tell Rumaylan. Fiey (The Iraqi Section of the Abbasid Road Mosul-Nisibin, 1964) concurs, on the basis of de Goeje and Von Oppenheim. In any case, Barqaʿid must be located somewhere in this area, either the Syrian or the Iraq section of the road Mosul-Nisibin. Place marker set according to Streck/Longrigg and Fiey.","geonames.org, tell of modern Tall Rumaylan, Syria",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
بلد,Balad,بلد,,,,Jazīra,Diyār Rabīʿa,,,42.7390913026871,36.514846394073,0,grn-pushpin,no specific clues for an exact location,,,modern Eskī Muṣil,modern Eskī Muṣil,,,,,,,,,,,,x,,,,x,,x,,x,x,x,0,JAZ,
تكريت,Takrīt,تكريت,,,,Jazīra,Diyār Rabīʿa,,,43.6875911252197,34.6055620290083,0,grn-pushpin,no specific clues for an exact location,,,"EI2, ""Takrit"" (J. H. Kramers/C. Bosworth)","Green Church, Assyrian Christian church built in 700 CE",,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
تل أعفر,Tall ʿAfar,تل أعفر,,,,Jazīra,Diyār Rabīʿa,,,42.4541376284651,36.3746269789515,0,grn-pushpin,no specific clues for an exact location,,,modern Tall ʿAfar,ANE place marker; cluster of photos of ancient sites,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
تل محرى ,Tall Maḥrā,تل محرى ,,,,Jazīra,Diyār Muḍar,,,39.051230091399,36.32658667573,0,blu-pushpin,no specific clues for an exact location,,,"Haase, ""Madinat al-Far/Hisn Maslama"" (1991), p. 207, and Bartl, ""Tell Sheikh Hasan"" (1994 and 1999-2000), identify Tell Sheikh Hasan as Tall Mahre","Place marker set at coordinates given in ""ASOR 	Syrian Heritage Initiative (SHI): Planning for Safeguarding Heritage Sites in Syria"" for Tell Sheikh Hasan, at http://www.asor-syrianheritage.org/wp-content/uploads/2014/12/Weekly-Report-16%E2%80%9317.pdf",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
ثورعبين,Ṭūr ʿAbdīn,طورعبين,,,,Jazīra,Diyār Rabīʿa,,,41.3128677091239,37.3743069444002,0,,,,,"mountainous area stretching roughly from the area northeast of Mardin to Jazirat Ibn ʿUmar (modern Cizre) in the east, to where the Batman Su joins the Tigris in the north and the tablelands sloping to the North Syrian Plain in the south. See EI2 (""Tur ʿAbdin"", Streck/Bosworth/Heinrichs).",mountainous area,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
جبل الجودي ,Jabal al-Jūdī,جبل الجودي ,,,,Jazīra,Diyār Rabīʿa,,,42.4776357025166,37.3687310742121,0,,no specific clues for an exact location,,,"Mount Judi (Turkey), where Noah's Ark landed according to legend.","""Noah's Ark"" (photos)",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
جبل بارما ,Jabal Bārimmā,جبل بارما ,,,,Jazīra,Diyār Rabīʿa,,,43.8608954458598,34.9432393471783,0,,no specific clues for an exact location,,," Le Strange (JRASGBI, 1895) identifies Jabal Barimma (alternative name Jabal Humrin) as Jabal Sinjar, but Herzfeld states that Jabal Barimma (which is the oldest Arabic name)/Jabal Hamrin is ""an isolated western chain of the mountains of the Iranian border"" (EI2, ""Hamrin""). Its northern extremity only crops up south of Sinjar.","Hamrin mountains, Iraq (GE place marker)",,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
جزيرة إبن عمر,Jazīrat Ibn ʿUmar,جزيرة إبن عمر,,,,Jazīra,Diyār Rabīʿa,,,42.1926765961661,37.3293796675497,0,grn-pushpin,no specific clues for an exact location,,,modern Cizre,"ancient remains (city walls, fortress)",,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,Re?-build of ancient Bazabda/Gazarta d'Kardu
جسر منبج ,Jisr Manbij,جسر منبج ,,,,Jazīra,Diyār Muḍar,,,38.2614264683893,36.5545638811325,0,grn-pushpin,,,,"Cornu: today known as Qalʿat Najm. See also EI, ""Kalʿat Nadjm"" (D. Sourdel)",Qalʿat Najm,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
حديثة الموصل ,Ḥadīthat al-Mawṣil,حديثة الموصل ,,,,Jazīra,Diyār Rabīʿa,,,43.38527778,35.89388889,0,red-pushpin,no specific clues for an exact location,,,"EI2 (""Haditha"", E. Herzfeld): Hadithat al-Mawsil was located on the east bank of the Tigris, just below where the Upper Zab joins the Tigris. Ruins of Hadithat al-Mawsil at modern Tall al-Shaʿīr. For the location of Tall al-Shaʿīr see Muehl (Human Landscape - Site (Trans) Formation in the Trastigris Area, 83).",Settlement just below the mouth of the Upper Zab,,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,"Loc: Novacek et al. 2016, 68."
,Bawāzīj,بوازيج,,,,Jazīra,(no kura mentioned),,,43.70666667,35.39305556,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,
حران,Ḥarrān,حران,,,,Jazīra,Diyār Muḍar,,,39.03115033649,36.864761307015,0,ylw-pushpin,,,,Ancient Carrhae; historical site is mostly in ruins today. ,settlement remains (early Islamic Harran),,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
حصن مسلمة ,Ḥiṣn Maslama,حصن مسلمة ,,,,Jazīra,Diyār Muḍar,,,39.1142117479032,36.5426618104599,0,blu-pushpin,no specific clues for an exact location,,,"Cornu: today known as Tall Hisha, but I was unable to find any references to a place of that name.Hisn Maslama is usually identified as Madinat al-Far - see Haase, Heidemann, Kennedy, ...","Excavation site Hisn Maslama/Madinat al-Far; plan of the site e.g. in de Jong (Resettling the Steppe: The Archaeology of the Balikh Valley in the Early Islamic Period, 528).",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
دارا ,Dārā,دارا ,,,,Jazīra,Diyār Rabīʿa,,,40.9538534599643,37.1762541319404,0,grn-pushpin,no specific clues for an exact location,,,Modern Dārā/Oguz (Turkey),Close to place marker AL; panoramio photographs of ruins/monasteries etc.,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
رأس العين,Raʾs al-ʿAyn,رأس العين,,,,Jazīra,Diyār Rabīʿa,,,40.0720041806922,36.850030077745,0,grn-pushpin,no specific clues for an exact location,,,modern Raʾs al-ʿAyn,GE place marker,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
رحبة ملك إبن طوق ,Raḥbat Malik b. Ṭawq,رحبة ملك إبن طوق ,,,,Jazīra,Ṭarīq al-Furāt,,,40.453333,35.018333,0,blu-pushpin,no specific clues for an exact location,,,"Corresponds roughly to modern al-Mayadin (EI2, Honigmann)","Modern town of al-Mayādīn, identified by Bianquis (""Reflexion… Rahba-Mayadin"") as the site of Rahbat Malik.",,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
