kml_input_name,Transliterated names,Name,Standardised transliterated name,standardized_name,author-specific_name,region_name,kura_name,Unclear provincial affiliation,city_type,latitude,longitude,altitude,pushpin,location_certainty,date,descr,id,loc,note,pic,Imperial capital,Provincial Capital,Kura/Sub-Region Capital,Important city,Mint (precious metal),Mint (copper),West Syrian archdiocese,West Syrian diocese,East Syrian archdiocese,East Syrian diocese,Garrison,Qāḍīship,"Marwānid period to Hārūn, first period (c73-180/692-796)",Marwānid period (c.73-132/692-750),Marwān II (127-132/744-750),al-Manṣūr-Hārūn al-Rashīd (ca. 136-193/754-809),"Hārūn, second period (180-193/796-809)",al-Maʾmūn to al-Muʿtaṣim (ca. 198-221/813-836),Sāmarrāʾ period (ca. 221-279/836-892),al-Muʿtaḍid to al-Muqtadir (ca. 279-320/892-932),kura_code,region_code,Comments
سروج ,Sarūj,سروج ,,,,Jazīra,Diyār Muḍar,,,38.4240237339966,36.9742946429353,0,grn-pushpin,no specific clues for an exact location,,,Cornu: modern Suruc (Turkey),GE place marker,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
سميساط,Sumaysāṭ,سميساط,,,,Jazīra,Diyār Muḍar,,,38.4988658990793,37.5035629904924,0,blu-pushpin,,,,"Pleiades: ancient Samosata; the ruins were submerged following the construction of the Ataturk dam. The modern village of Samsat does not coincide with this site. The ANE place marker is in the same place. Pace EI2 (""Sumaysat"", C. P. Haase), which argues that the modern village does in fact coincide with the ancient place, at least preserving Roman elements in the city walls. I have chosen to follow both PL and ANE in placing the marker.",ANE Place marker for Kummuhu / Samosata (Samsat),,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
سنجار ,Sinjār,سنجار ,,,,Jazīra,Diyār Rabīʿa,,,41.8578307765764,36.3217478212046,0,grn-pushpin,,,,modern Sinjar,ANE place marker,,,,,,,x,,,,,,,,,,,,,x,,x,0,JAZ,"Only silver (Diler, vol. II)"
شمشاط,Shimshāṭ,شمشاط,,,,,al-Thughūr ,x,,39.7535134672766,38.6177619339595,0,red-pushpin,,,,"Shimshat = ancient Arsamosata; exact location unknown, but it was situated on the left bank of the Arsanian river (now Murat Nehri) - see EI2 (""Shimshat"", C. E. Bosworth). Sinclair, Le Strange and others located Shimshat at the site of Haraba, but the remains are now largely submerged in the lake created by the Kelban dam. See Cohen (The Hellenistic Settlements in the East..., 2013, 45) for this and further references.",Eastern Pleiades place marker; lake that covers the site,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
عانة,ʿĀna,عانة,,,,Jazīra,Ṭarīq al-Furāt,,,41.9791769045193,34.4671135843721,0,ylw-pushpin,no specific clues for an exact location,,,"Cornu: modern ʿAna. However, the town was apparently moved to the location of modern ʿAna in the 17th century. Ancient/early Islamic ʿAna is an island located further upstream in the Euphrates (Northedge, Excavations at Ana). There are photos of ancient houses and ʿAna fortress in the vicinity.",ANE place marker for Qalʿat ʿAna,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
عربان ,ʿArabān,عربان ,,,,Jazīra,Mudun al-Khābūr,,,40.7206496491557,36.2078897883032,0,blu-pushpin,,,,"Cornu: Tall ʿAjjaja. Tell ʿAjjāja/ʿArban/ʿAraban/Shadikanni: same place? There is a Pleiades place marker for ""Shadikanni/Ar(a)ban"" a little further north.",ANE.kml place marker Shadikanni (Tell ' Ajaja),,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
فيشابور,Fayshābūr,فيشابور,,,,Jazīra,Diyār Rabīʿa,,,42.3781030801822,37.0669745100709,0,grn-pushpin,,,,Cornu: modern Fayshabur/Fishabur,village centre,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
قرقيسية,Qarqīsīya,قرقيسية,,,,Jazīra,Ṭarīq al-Furāt,,,40.4267494282369,35.1563552628567,0,grn-pushpin,no specific clues for an exact location,,,"Ancient Circesium, modern al-Busayra",al-Busayra,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
كفرتوثا,Kafartūthā,كفرتوثا,,,,Jazīra,Diyār Rabīʿa,,,40.42704,36.98749,0,red-pushpin,confirmed remains from early Islamic times,,,"Cornu: today known as Tall ʿArrada, but I could not find any references to a place of this name. It should be somewhere in this region as Ibn Hawqal describes it as being situated between Dara and Raʾs al-ʿAyn. See also EI2 (""Nasibin"", Honigmann).",Cornu,,,,,,,x,,,,,,,,,,,,,x,,,0,JAZ,"No gold (Diler, vol. II)"
ماردين,Mārdīn,ماردين,,,,Jazīra,Diyār Rabīʿa,,,40.7362354515768,37.3142817746861,0,grn-pushpin,no specific clues for an exact location,,,Modern Mardin,Photos of old town/remains,,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
مرج جهينة,Marj Juhayna,مرج جهينة,,,,Jazīra,Diyār Rabīʿa,,,43.2252699368757,36.1586390963338,0,red-pushpin,,,,"Marj Juhayna was a district of villages on the west bank of the Tigris, about a day's journey south of Mosul and not far from Hadithat al-Mawsil, which lay on the opposite river bank. See Ch. Robinson (Al-ʿAttaf b. Sufyan and ʿAbbasid Imperialism, 9 and the references cited in note 43 on that page) and D. S. Richards (The Annals of the Saljuq Turks..., 2002, 21 note 39) for the approximate location.",Cluster of villages,,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
مرعش,Marʿash ,مرعش,,,,,al-Thughūr,x,,36.9253952581656,37.586949800987,0,ylw-pushpin,,,located in the thughur or the Jazira,"EI2 (""Marʿash, E. Honigmann)","ANE and Pleiades place markers for ancient Germanikeia, which is identical with early Islamic Marʿash",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
معلثاية,Maʿalthāya,معلثاية,,,,Jazīra,Diyār Rabīʿa,,,42.9399318453937,36.8569813742113,0,grn-pushpin,,,,Cornu: modern Maltay,"Modern Maltai, ANE place marker",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
ميافارقين,Mayyāfāriqīn,ميافارقين,,,,Jazīra,(no kura mentioned),,,41.0093783907825,38.141625108011,0,grn-pushpin,,,,Modern Silvan; ancient Tigranocert (?) and Martyropolis,"Medieval castle (Ayyubid, 12th century?)",,,,,,,,,,,,,,,,x,,x,,x,x,x,0,JAZ,
نصيبين,Naṣībīn,نصيبين,,,,Jazīra,Diyār Rabīʿa,,,41.2143682622358,37.0681779585748,0,grn-pushpin,no specific clues for an exact location,,,Modern Nusaybin,ANE and PL place markers,,,,,,,,x,,,,,,,,x,,x,,x,,,0,JAZ,"No copper after 209 H (Diler, vol. II); only one type, dated 92 H (Album, 46)."
نينوى,Nīnawā,نينوى,,,,Jazīra,Diyār Rabīʿa,,,43.1517910696007,36.3585185629646,0,ylw-pushpin,,,,Cornu: ancient Nineveh,Remains of ancient Nineveh,,,,,,,,,,,,,,,,,,,,x,x,x,0,JAZ,
تنانير,Tunānīr,تنانير,,,,Jazīra,Mudun al-Khābūr,,,40.867715553041,36.4347158941401,0,grn-pushpin,,,,"Cornu: modern Tall Tunaynir.</b>Tunanir/Tall Tunaynir is also identified as ancient Thannuris (e.g., Rubin, Das Zeitalter Justinians, vol. 1, 304)",Pleiades place marker for ancient Thannuris,,,,,,,,,,,,,,,,x,,x,,x,x,x,6,JAZ,
سكير العباس,Sukayr al-ʿAbbās,سكير العباس,,,,Jazīra,Mudun al-Khābūr,,,40.58767,35.24207,0,pink-pushpin,,,,"Cornu: site of ""as-Setcher"", but I could not find any other references to this name",Cornu,,,,,,,,,,,,,,,,x,,x,,x,x,x,6,JAZ,
طابان,Ṭābān,طابان,,,,Jazīra,Mudun al-Khābūr,,,40.7877373959632,36.3362052216903,0,grn-pushpin,,,,"Cornu: modern Tell Tabān. GE place marker in the Khabur but closer to the place marker I set based on Numoto et al. (Excavations at Tell Taban, 2013).",ANE place marker,,,,,,,,,,,,,,,,x,,x,,x,x,x,6,JAZ,
ماكسين,Mākisīn,ماكسين,,,,Jazīra,Mudun al-Khābūr,,,40.762965302603,35.7494111617075,0,grn-pushpin,,,,Cornu: modern Tell Marqada,ANE place marker,,,,,,,,,,,,,,,,x,,x,,x,x,x,6,JAZ,
al-Ḥadath / الحدث,al-Ḥadath , الحدث,,,,,al-Thughūr,x,,37.4751993740129,37.7186868194337,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"Idrisi mentions al-Hadath not as part of al-Sham but among the Bilad al-Shamiyya, which appears to be a difference in his undertanding (Idrīsī: Nuzhat (Beirut, 1409 (Maktaba al-Shamila); 643))",following Hannah's Jazira placemarker for al-Hadath,,,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Dulūk / دلوك,Dulūk , دلوك,,,,,al-Thughūr ,x,,37.360067658002,37.15389803438,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"According to the EI2 Dulūk ""became one of the fortresses which since the earliest days of Islam had defended the frontier against the Byzantines"". It is identified with modern ""Düllük"" (= Dülük) by Krawulsky (p.598)",modern Dülük,,,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Ḥiṣn Manṣūr / حصن منصور,Ḥiṣn Manṣūr , حصن منصور,,,,,al-Thughūr,x,,38.2757734411441,37.7594027911003,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"Krawulsky (p.612) identifies Ḥiṣn Manṣūr with modern Adiyaman, which was under Islamic rule already in the Umayyad period (EI2: Adiyaman)","Adiyaman centre, surrounded by mosques",,http://www.panoramio.com/photo/24149654?source=wapi&referrer=kh.google.com,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Kamkh / كمخ,Kamkh , كمخ,,,,,al-Thughūr,x,,39.0362607965938,39.6038602745302,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"mentioned by Ibn Khuradadhbih as part of Thughur al-Jaziriyya (here apparently not meant to form part of al-Sham) (Ibn Khuradādhbih: Masālik (Leiden/Bayrūt, 1889 (Maktaba al-Shamila); 97))",Hannah's placemarker for Kamkh,,,,,,,,,,,,,,,,x,,x,,x,,,1,JAZ,
Kaysūm / كيسوم,Kaysūm , كيسوم,,,,,al-Thughūr,x,,37.855828797385,37.5607517424316,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,The EI2 identifies Kaysum with modern  Keysun (EI2: Kaysūm),GeoNames placemarker for Keysun,"According to Ibn al-Athir powerbase of the Uqayli rebel Nasr ibn Shabath in 213 (cited from Ibn al-ʿAdīm: Zubdat al-Ḥalab min tārīḫ Ḥalab (ed. ad-Dahhān (Damaskus 1951)) 1; 65, FN2); in 216 al-Ma'mun spends a couple of days in the city before returning to Damascus after the ghazwa (Tabari 3/2; 1104)",,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Malaṭya / ملطية,Malaṭya , ملطية,,,,,al-Thughūr,x,,38.3000552344891,38.3499659237291,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,,google Earth place marker for Malatya,"Istakhri mentions Malatya as part of Sham (Istakhri:al- Masalik wa l-mamalik (Beirut, 2004); 64""). So does Idrisi (Idrīsī: Nuzhat (Beirut, 1409 (Maktaba al-Shamila); 378))",,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Qūrus / قورس,Qūrus , قورس,,,,,al-Thughūr,x,,36.9590341897727,36.7441890429374,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"According to the EI2 Qūrus is both modern Shaykh Khuruz and ancient Cyrrhus (EI2: Ḳūrus). According to Geonames, however, modern Shaykh Khurūz is situated about 6.5km to the West of Nabī Hūrī (http://www.geonames.org/maps/google_36.734_36.929.html), which is the modern name for ancient Cyrrhus (http://en.wikipedia.org/wiki/Cyrrhus).",placemarker from ANE.kmz for Cyrrhus,"According to Istakhri Qūrus is ""in the border of Qinnasrin"" (fi hadd Qinnasrin) (Istakhrī: al-Masālik (Bayrūt, 2004 (Maktaba al-Shāmila); 65))",,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Raʿbān / رعبان,Raʿbān , رعبان,,,,,al-Thughūr,x,,37.6953470511197,37.4254451167968,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"mentioned by Ibn Hawqal (Ibn Ḥawqal: Ṣūra (Beirut, 1938 (Maktaba al-Shamila); 166))",GeoNames coordinates for Raban Kalesi,,,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
Zibaṭra / زبطرة,Zibaṭra , زبطرة,,,,,al-Thughūr,x,,37.8776128427572,38.09264048221,0,grn-pushpin,modern placename (ancient place may have been located at some distance from this point),,,"Idrisi mentions Zibatra not as part of al-Sham but among the Bilad al-Shamiyya, which appears to be a difference in his undertanding (Idrīsī: Nuzhat (Beirut, 1409 (Maktaba al-Shamila); 643))",following Hannah's Jazira placemarker for Zibatra,"Istakhri mentions that Zibaṭra was destroyed by the Byzantines (Istakhrī: al-Masālik (Bayrūt, 2004 (Maktaba al-Shāmila); 63))",,,,,,,,,,,,,,,x,,x,,x,x,x,1,JAZ,
الحديثة ,al-Ḥadītha,الحديثة ,,,,Jazīra,Ṭarīq al-Furāt,,,42.3862905881885,34.1318872740438,0,grn-pushpin,no specific clues for an exact location,,,"Cornu: modern al-Haditha. EI2 (""Haditha"", E. Herzfeld): there were several towns called al-Haditha; Hadithat al-Furat seems to fit the location of modern al-Haditha as given by Cornu. According to Herzfeld, the early Islamic town was build on an island in the Euphrates, with the caravan stations on the western river bank. Hadithat al-Furat is/was located south of ʿAna, which also suggests that modern Haditha is the approximate location of Hadithat al-Furat. There are also clusters of photos of the remains of an old bridge and buildings in the vicinity.",Island in the Euphrates,,,,,,,,,,,,,,,,x,,x,,x,x,x,5,JAZ,
تل فافان ,Tall Fāfān,تل فافان ,,,,Jazīra,(no kura mentioned),,,41.778675362618,37.7301966157574,0,blu-pushpin,,,,"Tell Fafan = Tilli = modern Cattepe. See L. Yorulmaz (A Forgotten Borderland: The Upper Tigris Between Septimius Severus and Anastasius I, Master's Thesis, 2014, 45ff.)",GE place marker for Cattepe,,,,,,,,,,,,,,,,x,,x,,x,x,x,4,JAZ,
حصن كيفة ,Ḥiṣn Kayfā,حصن كيفة ,,,,Jazīra,(no kura mentioned),,,41.4081323512144,37.7116856292473,0,grn-pushpin,,,,Modern Hasankeyf; there are archaeological remains of  ancient/early Islamic settlement.,Ruins of the medieval castle,,,,,,,,,,,,,,,,x,,x,,x,x,x,4,JAZ,
رصافة ,Ruṣāfa,رصافة ,,,,,,x,,38.7577980180131,35.6281136033685,0,ylw-pushpin,,,,Ruins of Rusafa/Resafa (Sergiopolis),"ANE place marker, archaeological site of Resafa (Sergiopolis)",,,,,,,,,,,,,,,,x,,x,,x,x,x,3,JAZ,
أرزن,Arzan,أرزن,,,,Jazīra,(no kura mentioned),,,41.3924927109661,37.9721068915873,0,ylw-pushpin,confirmed remains from early Islamic times,,,"ruins identified by Taylor (Travels in Kurdistan); see also EI2 (""Arzan"", R. N. Frye)","remains of ancient Roman town; see site plan in Taylor ((Travels in Kurdistan, with Notices of the Sources of the Eastern and Western Tigris, and Ancient Ruins in their Neighbourhood, 26)",,,,,,,,,,,,,,,,x,,x,,x,x,x,2,JAZ,